Nature of complaint,Category
crank shaft pin wear.,Major Mechanical
kc oil pump  low oil pressure problem.,Oil Pump
"kc oil pump seize  tang broken, housing , bushes ,gear wornout.",Oil Pump
knocking / abnormal sound,Sound & Vibration
pressure gauges (suc./disch./oil)  not working/malfunctioning,Electrical & Instruments
,Others
gauge board leakage,Electrical & Instruments
spares supply cylinder liner problem,Cylinder & Overheating
tah8 valve tight / stem broken / leakage,Valves & Solenoids
cylinder overheating,Cylinder & Overheating
solenoide valve threading spoil,Valves & Solenoids
sound in disch. stop valve,Sound & Vibration
stop valve leakage,Valves & Solenoids
shaft seal leakage,Shaft Seal
high oil consumption / oil carry over,Oil Consumption & Carryover
pc2 oil pump low oil pressure,Oil Pump
c.case leak due to welding crack near side door and foot,Leaks (General)
pump manifold damage,Others
stop valve leakage & oil pressure not develop,Oil Pump
transport damage,Others
cutouts not working / malfunctioning,Electrical & Instruments
k5 valve tight / stem broken / leakage,Valves & Solenoids
kcx oil pump  oil pressure not develop.,Oil Pump
oil level glass leakage,Oil Consumption & Carryover
solenoid valve coil not working / malfunctioning,Valves & Solenoids
kcx low oil pressure,Oil Pump
gauge panel board rusty,Electrical & Instruments
crank shaft broken.,Major Mechanical
kcx oil pump  purging problem.,Oil Pump
abnormal noise,Sound & Vibration
hp con rod scoring,Major Mechanical
compressor seize / jam.,Cylinder & Overheating
connecting rod scoring,Major Mechanical
delivery valve touches to piston,Valves & Solenoids
discharge oil str m22 pipe crack,Leaks (General)
k5 valve tight,Valves & Solenoids
kc oil pump  pressure not develop,Oil Pump
key loose in flywheel,Major Mechanical
tah8 valve tight,Valves & Solenoids
wrong supply of pressure gauges,Electrical & Instruments
"kcx oil pump seize  tang broken, inner,outer and housing wornout.(element broken)",Oil Pump
tah8 valve broken,Valves & Solenoids
leakges in fitting & flange,Leaks (General)
solenoid valve not working / malfunctioning,Valves & Solenoids
tah8 valve assembly problem,Valves & Solenoids
welding leakage from compressor discharge,Leaks (General)
delivery valve leakage,Valves & Solenoids
flywheel wobbling,Sound & Vibration
compressor loading problem,Loading & Unloading
intermediate pressure high,Others
oil pressure not buildup,Oil Pump
t connector of gauge damaged & leakage,Electrical & Instruments
thrust ring bronze wornout,Major Mechanical
crankshaft key way damaged,Major Mechanical
kc oil pump pressure not develop,Oil Pump
discharge filter manifold leakage.,Leaks (General)
kc pump low oil pressure loading delay problem,Oil Pump
kc oil pump  no oil pressure,Oil Pump
control panel box leakage,Electrical & Instruments
leak from c.case  foot and shell weld run due to crack,Leaks (General)
cylinder loading problem,Loading & Unloading
connecting rod worn out,Major Mechanical
short supply,Others
breather assly fall down,Others
kcx manifold threads damaged,Others
leakage from top housing discharge,Leaks (General)
pipe damaged in top housing assly,Others
leakage from oil pump body,Oil Pump
oil level glass broken,Oil Consumption & Carryover
water jacket leakage,Leaks (General)
oil leakage from discharge filter top housing,Leaks (General)
fitting leakage from suction oil strainer top housing .,Leaks (General)
fitting leakage from suction  pressure gauge,Electrical & Instruments
manifold porous,Leaks (General)
oil pressure trip,Others
customer stock old intermediate housing drill holes not match with kpcl supplied new spare crankcase,Others
suction oil filter top fitting leakage,Leaks (General)
gas leakage from gland of both tal valves,Leaks (General)
k5 valve thread damaged,Valves & Solenoids
op pressure switch malfunctioning,Electrical & Instruments
liner bore cut marks,Cylinder & Overheating
vld housing leakage due to pin hole,Leaks (General)
k5 valve leakage,Valves & Solenoids
bronze ring wearout,Shaft Seal
c.case weld leakage,Leaks (General)
low oil pressure,Oil Pump
manifold thrading damage.,Others
pc2 oil pump failure,Oil Pump
no partition for lp & hp ( on suction side),Others
water jaket leakage,Leaks (General)
loadingunloadding problem,Others
buffer spring  shrunk,Others
stop valve nut crack,Valves & Solenoids
suction strainer element missing,Others
suction filter hsg fitting leakage,Leaks (General)
c.case weld leak at discharge pipe.,Leaks (General)
tah8 valve stem broken,Valves & Solenoids
"low oil pressure big end bearing , piston, gudgeon pin worn out",Oil Pump
comp cylinder overheat,Cylinder & Overheating
heavy system dust found in cylinders,Others
side cover bolt missing,Others
wrong labelling of pressure name plates,Others
overhauling servicing,Others
direct piston loading problem in compressor starting time,Loading & Unloading
oil lifting,Oil Consumption & Carryover
liner bore cut marks and oil carryover,Cylinder & Overheating
"abnormal noise,piston touching to dv assy due to liner gaskets damaged",Sound & Vibration
leakage from shaft seal cover,Shaft Seal
loading  unloading problem.,Loading & Unloading
shaft seal leakage and low oil pressure.,Oil Pump
oil leakage from cylinder head covers,Leaks (General)
low oil pressure & crankshaft wornout,Oil Pump
cylinder liner worn out.,Cylinder & Overheating
loading & unloading problem.,Loading & Unloading
wrong cutout fitted,Electrical & Instruments
leakage from ferule fitting of discharge filter housing,Leaks (General)
tubing quantity short,Others
"liner bore cut marks  in cyl no.01,02,04&05",Cylinder & Overheating
tubing qty.short,Others
damage problem in vld piston & lever.,Others
flywheel key damaged,Major Mechanical
"1) high oil consumption
2) abnormal sound in unloading time @ cyl.no.3 & 6
3) air purging problem.",Oil Pump
abnormal noise from cylinder.,Sound & Vibration
abnormal noise problem,Sound & Vibration
compressor has been breakdown due to thrust ring bronze broken in running condition .,Major Mechanical
high oil consumption,Oil Consumption & Carryover
machine jam condition,Others
c.case weld leak at hp suction,Leaks (General)
after stopping the compressor for 12 days oil pressure is not developed,Others
liner gasket damaged,Cylinder & Overheating
loading unloading problem,Loading & Unloading
no oil pressure,Oil Pump
solenoid coil burnt,Valves & Solenoids
solenoid valve leakage,Valves & Solenoids
flywheel bolt loose,Major Mechanical
low oil pressure and liner cut mark,Oil Pump
op cutout not working,Electrical & Instruments
hp side safety valve leak,Valves & Solenoids
leak from kcx manifold and hair crack on kcx oil pump housing and cover,Oil Pump
kc pump lubrication pressure not develop.,Others
solenoid valve 1/8 bsp thrd damaged,Valves & Solenoids
abnormal noise   from compressor,Sound & Vibration
high oil carryover,Oil Consumption & Carryover
orv leak,Leaks (General)
crankshaft failure,Major Mechanical
knocking sound & overheating,Sound & Vibration
oil seal leak & excessive sound,Shaft Seal
solenoid valve coil not working,Valves & Solenoids
unloading problem,Loading & Unloading
abnormal noise & oil carry over,Sound & Vibration
kcx oil pressure not develop,Oil Pump
loading / unloading problem,Loading & Unloading
abnormal vibrations,Sound & Vibration
oil charging probleem/suction manifold threading damaged,Others
abnormal noise suction over heat and oil carry over,Sound & Vibration
compressor knocking sound,Sound & Vibration
high oil consumption and abnormal sound.,Sound & Vibration
"knocking sound in cylinder no. 01,03,04 & 06.",Sound & Vibration
oil pressure dp trip,Others
piston touches to delivery valve,Valves & Solenoids
pump inner rotor missing,Others
stop valve not working,Valves & Solenoids
fitting lekage,Leaks (General)
hour meter not working,Hour Meter & Accessories
kc oil pressure low,Oil Pump
solenoid valve not working,Valves & Solenoids
abnormal noise from compressor,Sound & Vibration
pressure gauge not working,Electrical & Instruments
cylinder rusty & delivery valve leakage,Valves & Solenoids
pressure gauge out,Electrical & Instruments
suction pressure gauge not working.,Electrical & Instruments
oil carry over,Oil Consumption & Carryover
pressure gauge thrd damaged,Electrical & Instruments
oil pump cracked while transit time,Oil Pump
low oil pressurepiston sieze,Oil Pump
compressor abnormal sound,Sound & Vibration
oil pump pressure not builtup,Oil Pump
compressor seized,Cylinder & Overheating
discharge pressure gauge broken,Electrical & Instruments
overheating of cylinder,Cylinder & Overheating
solenoid valve malfuctioning,Valves & Solenoids
crankcase heater leak,Leaks (General)
flywheel not rotating,Major Mechanical
loading problem,Loading & Unloading
low oil pressure & metal dust in filters.,Oil Pump
no oil pressure & shaft seal leakage.,Oil Pump
solenoid valve stukup in manual operating.,Valves & Solenoids
high oil consumption & knocking sound.,Sound & Vibration
cloth piece inside crankcase,Others
kcx oil pumppurging,Oil Pump
knocking sound in compressor,Sound & Vibration
loading and unloading problem,Loading & Unloading
paint problem,Others
failure of oil pump,Oil Pump
oil pressure not delvelop & shaft seal leakage.,Oil Pump
shaft seal  leakage & overheat compressor.,Shaft Seal
cylinder overheating problem,Cylinder & Overheating
shaft seal leakage & low oil pressure.,Oil Pump
control pannel box  wrong oil pressure connection,Others
drain  adaptor broken,Others
pressure gauge leak,Electrical & Instruments
compressor seize,Cylinder & Overheating
dd flywheel retaining plate tap holes missing.,Major Mechanical
discharge filter spring & spacer ring missing.,Others
oil pump purging,Oil Pump
panel board wiring wrong & pressure gauge not working,Electrical & Instruments
abnormal noise and low oil pressure,Oil Pump
hp cutout not working,Electrical & Instruments
op cutout  and wiring burn out,Electrical & Instruments
over heating,Cylinder & Overheating
pressure gauge glass broken,Electrical & Instruments
no paint at base frame bottom,Others
discharge filter housing leak .,Leaks (General)
kcx oil pump not working,Oil Pump
pc2 oil pump tang broken,Oil Pump
heavy vibrations and leakage at discharge housing,Sound & Vibration
kcx oil pump purging,Oil Pump
kcx oil pump tang broken,Oil Pump
abnormal noise from motor pulley,Sound & Vibration
tah8 valve  adaptor broken in transit,Valves & Solenoids
abnormal noise from compressor head.,Sound & Vibration
abnormal noise in cylinder 1 and low oil pressure,Oil Pump
discharge valve leakage,Valves & Solenoids
"oil pressure not developing & loading, unloading problem",Oil Pump
breakdown of compressor,Others
commissioning for kcx3,Others
housing manifold leakage from plug,Leaks (General)
loading unloading and oil pressure not develop,Oil Pump
plunger is not free in solenoid valve,Valves & Solenoids
suct pr gauge & op cutout not working,Electrical & Instruments
td solenoid valve not working,Valves & Solenoids
suction str welding leakage,Leaks (General)
cylinder overheating due to delivery valve leakage.,Cylinder & Overheating
gas leakage,Leaks (General)
kcx pump  air purging,Oil Pump
suction pressure gauge error,Electrical & Instruments
th8 valve adaptor broken,Others
hp cylinder  orv  plug  missing,Cylinder & Overheating
op cut out  not working,Electrical & Instruments
abnormal noise and oil consumption,Sound & Vibration
kc63 compressor loading unloading problem,Loading & Unloading
oil  consumption,Oil Consumption & Carryover
pressure gauge error,Electrical & Instruments
cyl overheating due to dv leakage,Cylinder & Overheating
incorrect piping sequence,Others
knocking sound due to piston touches to dv,Sound & Vibration
paint peel off,Others
pump element broken,Oil Pump
crank case weld leak at discharge pipe,Leaks (General)
"wrong sequence to lp cutout wiring done 5,4,2 instead of 4,5,2",Electrical & Instruments
1.crankcase heater fouling to support of intermediate bearing housing 2. connecting rod and cap sr. no. not in same side 3.flywheel bore oversize.,Major Mechanical
crankcase heater fouling to stiffning plate,Leaks (General)
kcx oil pump element tang broken,Oil Pump
solenoid valve not working/ discharge valve assly,Valves & Solenoids
solenoid valve not working/ valve ring not freely seating in del. stroke limitor,Valves & Solenoids
tah8 valve  adaptor broken,Valves & Solenoids
panel board wiring burnt,Electrical & Instruments
abnormal noise from piston no 1,Sound & Vibration
flywheel groove oversize,Major Mechanical
oil pump damage,Oil Pump
oil pump tang broken,Oil Pump
transit damage  oil pump body,Oil Pump
1.crankcase heater fouling to support of intermediate bearing housing 2. connecting rod and cap sr. no. not in same side,Major Mechanical
c.case weld leak at discharge,Leaks (General)
flywheel bore oversize.,Major Mechanical
pressure gauge & switch not working,Electrical & Instruments
pump element tang broken,Oil Pump
abnormal noise in hp cylinder,Sound & Vibration
driving plate replaced,Others
extra sound,Sound & Vibration
heating piston,Others
lp pressure switch / cutout not working,Electrical & Instruments
crank case leak near foot and shell joint due to crack,Leaks (General)
ccsv problem,Loading & Unloading
high pressure,Others
knocking sound problem,Sound & Vibration
op overflow connection thread damaged,Others
suction pressure gauge not working,Electrical & Instruments
oil pressure problem,Oil Pump
overheating & abnormal sound,Sound & Vibration
kcx oil pressure not develops,Oil Pump
pc2 oil pump seazed,Oil Pump
crankcase weld leak at discharge pipe,Leaks (General)
motorpulley keway distance  undersize by 0.3 to 0.7 mm,Others
intermediate housing  bolts loose.,Others
paint peel off and colour change at discharge side,Others
stop valve tal 100 leakage,Valves & Solenoids
delivery valve stuck in liner,Valves & Solenoids
fitting leakage,Leaks (General)
hp cylinder no. 4 seized,Cylinder & Overheating
kcx pump element broken,Oil Pump
oil leakage from filter manifold.,Leaks (General)
solenoid valve not working. in visit of branch engineer no problem of solenoid valve,Valves & Solenoids
additional  intermediate housing  bolt found in crankcase.,Others
op cut out malfunctoning.,Electrical & Instruments
wrong cut out fitted in gauge panel board,Electrical & Instruments
delivery valve leakage & solenoid coil failure,Valves & Solenoids
overheating of body & head.,Cylinder & Overheating
piston crack,Cylinder & Overheating
cylinder overheating  cyl 4,Cylinder & Overheating
cylinder overheating  cyl 5,Cylinder & Overheating
loading & unloading problem,Loading & Unloading
motor pulley bore oversize by 1mm,Others
air purging problem,Oil Pump
coupling problem disk pack broken,Coupling & Drive
overheating compressor,Cylinder & Overheating
retainer plate bolt threading damaged,Others
tal valve & sfaety valve leakage,Valves & Solenoids
abnormal noise & oil lifting,Sound & Vibration
compressor over heating,Cylinder & Overheating
coupling problem,Coupling & Drive
delivery valve assembly leakage,Valves & Solenoids
low oil pressure problem,Oil Pump
spring missing from oil pressure regulatror,Others
suction thermowell drill hole undersize,Others
wrong wiring in control panel.,Others
discharge pressure to high,Others
leakage problem,Leaks (General)
oil leakage,Leaks (General)
excessive oil lifting,Oil Consumption & Carryover
leaking from the oil filter,Leaks (General)
oil prassure gauge faculty,Others
discharge stop valve leackage.,Valves & Solenoids
overheating of cylinders,Cylinder & Overheating
kcx oil pump low oil pressure,Oil Pump
welding crack at discharge line,Leaks (General)
wrong serial number name plate punching.,Others
crankcase heater fouling to stiffening plate.,Leaks (General)
op cutout malfunctioning,Electrical & Instruments
stop valve spindle damaged,Valves & Solenoids
overheating of compressor,Cylinder & Overheating
panel guage board   toggle got current,Others
suction & discharge temp error in the controller  krms panel.,KRMS & Sensors
suction strainer missing,Others
tdv solenoid valve malfunctioning,Valves & Solenoids
wrong pressure name plate fitted,Others
tal80/100 teflon missing,Others
abnormal noise and over heating,Sound & Vibration
krms issue,KRMS & Sensors
oil lifting problem & knocking sound,Sound & Vibration
over heating & abnormal sound,Sound & Vibration
overheating problem,Cylinder & Overheating
pressure gauge defective,Electrical & Instruments
abnormal noise piston crack,Sound & Vibration
high oil carryoverpiston crack.,Cylinder & Overheating
loading and unloading,Loading & Unloading
oil carry over  piston crack,Cylinder & Overheating
oil seperator float valve issue,Others
over heating compressor,Cylinder & Overheating
panel board bypass switch problem,Electrical & Instruments
seal leakage & over heating of head,Shaft Seal
abnormal noisepiston crack,Sound & Vibration
delivery vavlve assly leakage,Leaks (General)
high discharge pressure,Others
high oil carry over,Oil Consumption & Carryover
knocking sound piston crack,Sound & Vibration
oil pressure not develop & knocking sound,Oil Pump
abnormal noise from cylinder,Sound & Vibration
abnormal noise from hp,Sound & Vibration
female run tee thread damaged.,Others
toggal switch getting shock/current.,Others
oil pump element tang broken,Oil Pump
retainer plate bolt broken,Others
shaft seal cover leakage,Shaft Seal
bearing cover bh,Major Mechanical
krms temperature sensor problem.,KRMS & Sensors
suction pressure gauge out 16kg/cm2.,Electrical & Instruments
fitting leakage & poor aesthetics,Leaks (General)
pump purging problem,Oil Pump
vibration problem,Sound & Vibration
wrong fitment of suction strainer element & cloth bag missing.,Others
oil leakage & air purging,Oil Pump
short supply ferule and tee,Others
valve lifting sleeve broken,Others
crankshaft wornout,Major Mechanical
flywheel paint peeloff,Major Mechanical
krms connection data loss,KRMS & Sensors
machining burr in cylinder,Others
kcx oil pressure problem,Oil Pump
oil leakage from filter,Leaks (General)
pressure gauge malfunctioning,Electrical & Instruments
pressure switch not working,Electrical & Instruments
alignment was out from 8 mm,Coupling & Drive
v belt fitment problem,Coupling & Drive
cylinder liner tap bolt broken,Cylinder & Overheating
kc oil pump tang broken,Oil Pump
power supply adaptor and hardware for remote monitoring replaced. required for field trial suggested by d&d.,Others
pressure gauge glycerin leak,Electrical & Instruments
remote monitoring hardware and power supply adaptor upgradation,Others
rusting of internal parts i.e. liner del. vlave,Others
stop valve problem,Valves & Solenoids
v belt broken,Coupling & Drive
overheatingpiston crack,Cylinder & Overheating
crankshaft not rotates.,Major Mechanical
oil lifting and abnormal sound,Sound & Vibration
upgradation of krms,KRMS & Sensors
crank case welding  leakage,Leaks (General)
high oil consumptionorv blockage,Oil Consumption & Carryover
kc oil pump assly oil pr not develop,Oil Pump
overheatingcylinder liner gasket broken,Cylinder & Overheating
overheatingdelivery valve leak,Cylinder & Overheating
delivery valve failure,Valves & Solenoids
oil separator flanges replacedwrong name plate fitted,Others
piston crackoil lifting,Cylinder & Overheating
shaft seal leakageoring replaced,Shaft Seal
high oil consumptionpiston crack,Cylinder & Overheating
issue in krms sysytem,KRMS & Sensors
retaining plate welding broken,Others
tap bolt broken and deep impression mark on lever.,Others
abnormal noise and low oil pressure problem.,Oil Pump
knocking soundpiston crack,Sound & Vibration
compressor foot crack,Others
