Date,Model_masked,total_p10,total_p50,total_p90
2026-02,KC2,0,0,0
2026-02,KC21,0,0,0
2026-02,KC3,0,0,3
2026-02,KC31,0,0,0
2026-02,KC4,0,0,2
2026-02,KC42,0,0,0
2026-02,KC51,0,0,0
2026-02,KC6,0,0,2
2026-02,KC63,0,0,0
2026-02,KC72,0,0,1
2026-02,KC84,0,0,0
2026-02,KC9,0,0,0
2026-02,KC93,0,0,0
2026-02,KCX1,0,0,1
2026-02,KCX12,0,0,1
2026-02,KCX2,0,1,3
2026-02,KCX21,0,0,1
2026-02,KCX3,1,3,4
2026-02,KCX31,0,0,1
2026-02,KCX4,3,4,6
2026-02,KCX42,0,1,2
2026-02,KCX51,0,0,2
2026-02,KCX6,1,3,3
2026-02,KCX63,0,1,2
2026-02,KCX72,1,4,4
2026-02,KCX84,0,0,1
2026-02,KCX9,0,0,1
2026-02,KCX93,0,1,2
2026-02,PC2,0,0,0
2026-02,PCX2,0,0,1
2026-03,KC2,0,0,1
2026-03,KC21,0,0,1
2026-03,KC3,0,1,5
2026-03,KC31,0,0,1
2026-03,KC4,0,2,7
2026-03,KC42,0,0,1
2026-03,KC51,0,0,1
2026-03,KC6,0,0,5
2026-03,KC63,0,0,0
2026-03,KC72,0,0,2
2026-03,KC84,0,0,0
2026-03,KC9,0,0,0
2026-03,KC93,0,0,0
2026-03,KCX1,0,0,1
2026-03,KCX12,0,0,1
2026-03,KCX2,0,2,5
2026-03,KCX21,0,0,1
2026-03,KCX3,1,6,8
2026-03,KCX31,0,0,1
2026-03,KCX4,2,5,9
2026-03,KCX42,0,1,2
2026-03,KCX51,0,0,2
2026-03,KCX6,0,5,7
2026-03,KCX63,0,1,2
2026-03,KCX72,1,6,7
2026-03,KCX84,0,0,1
2026-03,KCX9,0,1,2
2026-03,KCX93,0,1,3
2026-03,PC2,0,0,0
2026-03,PCX2,0,0,1
2026-04,KC2,0,0,0
2026-04,KC21,0,0,0
2026-04,KC3,0,1,2
2026-04,KC31,0,0,0
2026-04,KC4,0,0,3
2026-04,KC42,0,0,0
2026-04,KC51,0,0,0
2026-04,KC6,0,0,1
2026-04,KC63,0,0,0
2026-04,KC72,0,0,1
2026-04,KC84,0,0,0
2026-04,KC9,0,0,0
2026-04,KC93,0,0,0
2026-04,KCX1,0,0,1
2026-04,KCX12,0,0,1
2026-04,KCX2,0,1,3
2026-04,KCX21,0,0,1
2026-04,KCX3,1,4,5
2026-04,KCX31,0,0,1
2026-04,KCX4,1,3,4
2026-04,KCX42,0,0,1
2026-04,KCX51,0,0,1
2026-04,KCX6,1,5,6
2026-04,KCX63,0,0,2
2026-04,KCX72,1,3,5
2026-04,KCX84,0,0,1
2026-04,KCX9,0,1,1
2026-04,KCX93,0,0,2
2026-04,PC2,0,0,0
2026-04,PCX2,0,0,2
2026-05,KC2,0,0,0
2026-05,KC21,0,0,0
2026-05,KC3,0,1,4
2026-05,KC31,0,0,0
2026-05,KC4,0,1,3
2026-05,KC42,0,0,0
2026-05,KC51,0,0,0
2026-05,KC6,0,0,1
2026-05,KC63,0,0,0
2026-05,KC72,0,0,1
2026-05,KC84,0,0,0
2026-05,KC9,0,0,0
2026-05,KC93,0,0,0
2026-05,KCX1,0,0,1
2026-05,KCX12,0,0,1
2026-05,KCX2,0,1,3
2026-05,KCX21,0,0,0
2026-05,KCX3,1,5,6
2026-05,KCX31,0,0,1
2026-05,KCX4,1,5,6
2026-05,KCX42,0,1,2
2026-05,KCX51,0,1,1
2026-05,KCX6,1,4,6
2026-05,KCX63,0,1,2
2026-05,KCX72,1,3,4
2026-05,KCX84,0,0,1
2026-05,KCX9,0,1,2
2026-05,KCX93,0,1,2
2026-05,PC2,0,0,0
2026-05,PCX2,0,0,1
2026-06,KC2,0,0,0
2026-06,KC21,0,0,0
2026-06,KC3,0,1,3
2026-06,KC31,0,0,0
2026-06,KC4,0,1,3
2026-06,KC42,0,0,0
2026-06,KC51,0,0,0
2026-06,KC6,0,0,0
2026-06,KC63,0,0,0
2026-06,KC72,0,0,0
2026-06,KC84,0,0,0
2026-06,KC9,0,0,0
2026-06,KC93,0,0,0
2026-06,KCX1,0,0,0
2026-06,KCX12,0,0,0
2026-06,KCX2,0,1,3
2026-06,KCX21,0,0,0
2026-06,KCX3,1,3,7
2026-06,KCX31,0,0,1
2026-06,KCX4,2,5,8
2026-06,KCX42,0,0,1
2026-06,KCX51,0,0,1
2026-06,KCX6,1,4,7
2026-06,KCX63,0,1,2
2026-06,KCX72,1,4,5
2026-06,KCX84,0,0,0
2026-06,KCX9,0,0,1
2026-06,KCX93,0,0,1
2026-06,PC2,0,0,0
2026-06,PCX2,0,0,1
2026-07,KC2,0,0,0
2026-07,KC21,0,0,0
2026-07,KC3,0,0,2
2026-07,KC31,0,0,0
2026-07,KC4,0,1,3
2026-07,KC42,0,0,0
2026-07,KC51,0,0,0
2026-07,KC6,0,0,1
2026-07,KC63,0,0,0
2026-07,KC72,0,0,1
2026-07,KC84,0,0,0
2026-07,KC9,0,0,0
2026-07,KC93,0,0,0
2026-07,KCX1,0,0,1
2026-07,KCX12,0,0,0
2026-07,KCX2,0,1,3
2026-07,KCX21,0,0,1
2026-07,KCX3,1,3,6
2026-07,KCX31,0,0,1
2026-07,KCX4,2,5,8
2026-07,KCX42,0,0,2
2026-07,KCX51,0,0,1
2026-07,KCX6,1,4,7
2026-07,KCX63,0,1,2
2026-07,KCX72,1,5,7
2026-07,KCX84,0,0,0
2026-07,KCX9,0,0,2
2026-07,KCX93,0,0,2
2026-07,PC2,0,0,0
2026-07,PCX2,0,0,1
